word1	word2	score
תקדים	מידע	3.85
אדריכלות	מאה	3.78
אוכלוסייה	פיתוח	3.75
מלאי	חי	3.73
שלום	אווירה	3.69
מוסר	נישואין	3.69
מיעוט	שלום	3.69
אווירה	נוף	3.69
דיווח	רווח	3.63
מוזיקה	פרויקט	3.63
שבע	סדרה	3.56
חוויה	מוזיקה	3.47
בית ספר	מרכז	3.44
חמש	חודש	3.38
הכרזה	הפקה	3.38
מוסר	חשיבות	3.31
כסף	ניתוח	3.31
עיכוב	חדשות	3.31
מושל	ראיון	3.25
תרגול	מוסד	3.19
מאה	אומה	3.16
חוף	יער	3.15
חוף	חורש	3.08
משקה	מכונית	3.04
נשיא	מדליה	3
דעה קדומה	הכרה	3
צופה	סדרתי	2.97
שלום	ביטוח	2.94
מאדים	מים	2.94
תקשורת	רווח	2.88
תקדים	קוגניציה	2.81
הכרזה	מאמץ	2.75
קו	ביטוח	2.69
עגורן	כלי	2.69
משקה	אמא	2.65
אופרה	תעשייה	2.63
מתנדב	מוטו	2.56
רישום	קרבה	2.56
תקדים	אוסף	2.5
כוס	פריט	2.4
שלט	הפסקה	2.38
בעיה	נמל תעופה	2.38
סיבה	יתר לחץ דם	2.31
כיוון	שילוב	2.25
יום רביעי	חדשות	2.22
זכוכית	קוסם	2.08
בית קברות	חורש	2.08
אפשרות	ילדה	1.94
כוס	חומר	1.92
יער	בית קברות	1.85
מלאי	ביצה	1.81
חודש	מלון	1.81
אנרגיה	מזכיר	1.81
תקדים	קבוצה	1.77
ייצור	טיול	1.75
מלאי	טלפון	1.62
קדוש	סקס	1.62
מלאי	תקליטור	1.31
משקה	אוזן	1.31
עיכוב	גזענות	1.19
מלאי	חיים	0.92
מלאי	יגואר	0.92
נזיר	עבד	0.92
נער	קוסם	0.92
סוכר	גישה	0.88
תרנגול	מסע	0.62
צהריים	חוט	0.54
אקורד	חיוך	0.54
פרופסור	מלפפון	0.31
מלך	כרוב	0.23
